sentence,outlet,topic,type,Label_bias,Label_opinion,biased_words
"An analysis by Fox News shows at least eight potential Democratic candidates have voiced support for or touted aspects of the proposal, which amounts to a drastic overhaul of the U.S. economy and government benefit system.",fox-news,middle-class,right,Biased,Somewhat factual but also opinionated,['voiced' 'support' 'touted' 'drastic']
Power is pretty much all the racist right wants.,alternet,gun-control,left,Biased,Expresses writer’s opinion,['racist']
Owens defended herself Friday by insisting that her blackness was credential enough to claim expertise in domestic terrorism.,alternet,white-nationalism,left,Non-biased,Entirely factual,['blackness']
"Justice Sonia Sotomayor, in her dissent, accused the majority of weaponizing the First Amendment — an unconscionable position for a person tasked with “faithfully and impartially” discharging the duty to protect the inherent rights of all Americans. The dissenters have perverted the intent of the Founders. It’s none of Sotomayor’s business how we use free expression. It’s her business to protect it.",federalist,trump-presidency,right,Biased,Expresses writer’s opinion,['weaponizing' 'unconscionable' 'position' 'perverted']
"Malinowski, a Democrat representing New Jersey’s seventh congressional district, said in a call that he would threaten McConnell by withholding Lysol for his constituents.",breitbart,coronavirus,right,Non-biased,Entirely factual,['']
"At the World Economic Forum in the Swiss Alps, Trump argued that a regime of tax cuts, regulatory rollbacks and protectionist trade policies have benefited the working class.",msnbc,middle-class,left,Biased,Somewhat factual but also opinionated,['argued' 'protectionist']
"Transgender controversy also erupted ahead of International Women’s Day in Leicester, after a students’ union at Leicester University voted to rebrand the day as International Womxn’s Day, in order to be more inclusive of transgender women.",breitbart,gender,right,Non-biased,Entirely factual,['']
"Reports of Americans misusing bleach and other disinfectants quickly flooded the news, as hospital emergency rooms saw spikes in bleach exposure and other similar poisonings. When confronted with the news of people misusing bleach, Trump refused to take any responsibility.",alternet,coronavirus,left,Non-biased,Somewhat factual but also opinionated,['refused']
"As shocking as it is, even the terrorists of ISIS have been shown for respect for science when it comes to COVID-19 than the Christian Right, American white nationalists and coronavirus truthers. And the more the Christian Right rails against Fauci and social distancing, the more painfully obvious it becomes that they are a white nationalist death cult.",alternet,white-nationalism,left,Biased,Expresses writer’s opinion,['truthers' 'death' 'cult' 'white' 'nationalist']
So conservative activists are turning to their favorite weapons — bad faith and distraction — to advance an agenda of gender inequality.,alternet,gender,left,Biased,Expresses writer’s opinion,['favorite' 'weapons' 'bad' 'faith' 'distraction']
"In a three-part breakdown of how Trump has failed this moment and the nation, (Ret.) Gen. Allen specifically called out this administration singling out antifa—a leaderless movement that is, by definition, anti-fascist—as a terrorist group while ignoring the white supremacists who have been proven to be inciting violence at some of these protests.",alternet,trump-presidency,left,Biased,Expresses writer’s opinion,['failed' 'white']
President Donald Trump clearly wasn’t pleased on Wednesday when he learned that his former Defense Secretary James Mattis had spoken out against him. So the president responded in his usual and predictable way: lashing out on Twitter.,alternet,trump-presidency,left,Biased,Somewhat factual but also opinionated,['lashing' 'out' 'usual' 'and' 'predictable']
Edwards’ allies are pushing a narrative that supporting Rispone is akin to being a racist like infamous white supremacist David Duke.,breitbart,white-nationalism,right,Biased,Expresses writer’s opinion,['racist' 'infamous' 'pushing' 'narrative' 'white']
Victoria’s Secret chose the middle of a worldwide pandemic to launch its spring campaign featuring transgender and plus-sized models. ,breitbart,gender,right,Non-biased,Entirely factual,['']
"In his ongoing effort to differentiate between himself and Bernie Sanders, Joe Biden is touting background checks but ignoring the fact they do not stop mass public attackers.",breitbart,gun-control,right,Biased,No agreement,['touting' 'ignoring the fact' 'background']
"Worth noting, however, is that Democrats have also been notably two-faced on gun control.",federalist,gun-control,right,Biased,Expresses writer’s opinion,['two-faced']
"As the president spoke about doing “a lot” to address gun violence, while also emphasizing mental health, it was hard not to think of one of the first bills Trump signed into law.",msnbc,gun-control,left,Biased,Somewhat factual but also opinionated,['hard']
"Further, the Trump Tax Cuts and Jobs Act also repealed the Obamacare individual mandate, which serves as a giant middle-class tax cut. ",breitbart,middle-class,right,Non-biased,Somewhat factual but also opinionated,['giant']
"Long-simmering tensions between Japan and South Korea exploded at the beginning of July, when Japan imposed restrictions on the export of chemicals crucial to electronics manufacturing to South Korea. ",breitbart,international-politics-and-world-news,right,Non-biased,Entirely factual,['exploded']
In the past Putin has warmly welcomed home Russian agents arrested abroad.,reuters,international-politics-and-world-news,center,Biased,No agreement,['warmly']
Gates added that raising taxes on the wealthy would narrow the wealth gap between the richest and poorest of Americans.,breitbart,middle-class,right,Non-biased,Entirely factual,['']
"Alex Berenson, a former reporter at the New York Times who has written extensively debunking fearmongering claims related to the lockdowns wrote on Twitter Thursday that the tech giant to benefit the most from pandemic stay-home orders is refused to sell his latest book.",federalist,coronavirus,right,Biased,Somewhat factual but also opinionated,['fearmongering' 'claims']
How far will Republicans go to destroy democracy?,alternet,gun-control,left,Biased,Expresses writer’s opinion,['destroy']
"In addition to mocking Ivanka for her looks, the exhibit that invites people to throw trash at vacuuming Ivanka Trump lookalike demeans the First Daughter’s success as a business woman and White House advisor to that of a woman with a vacuum—as if something’s wrong with that, too. ",federalist,gender,right,Biased,No agreement,['mocking' 'demeans']
Some people hate Trump and mock everything from his geography gaffes to his appearance. They’ve done the same thing with Rush. All of this mockery and vitriol is just an attempt to thwart their real success in revolutionizing American culture and politics.,federalist,trump-presidency,right,Biased,Expresses writer’s opinion,['mockery' 'vitriol' 'revolutionizing']
"While low unemployment and steadily — if slowly — rising wages have improved the fortunes of lower-income Americans, these gains pale in comparison to the investment gains realized by the wealthy few.",msnbc,middle-class,left,Biased,Somewhat factual but also opinionated,['pale' 'in' 'comparison']
"Still, gun-control advocates believe momentum is on their side.",usa-today,gun-control,center,Non-biased,Entirely factual,['']
"Remarkably, the first three years of Trump’s presidency were relatively smooth sailing outside of self-inflicted crimes and mishaps. His actual approach to life was never fully tested in the Oval Office. Now, with the first real challenge of his presidency, he is utterly adrift.",alternet,coronavirus,left,Biased,No agreement,['Remarkably' 'utterly' 'adrift']
"He is asking President Trump, a fellow climate change disbeliever and another white nationalist, for help with dousing the fires.",alternet,white-nationalism,left,Biased,Expresses writer’s opinion,['disbeliever' 'white' 'nationalist']
"Not only do most U.S. workers not have that luxury – 29% have the option to work remotely, according to Labor Department data – many have frontline exposure to the virus because their jobs put them in front of people.",usa-today,coronavirus,center,Non-biased,Entirely factual,['luxury']
Team Trump simply decided to consider changes that would have dramatic effects on those who rely on the social-insurance programs.,msnbc,middle-class,left,Biased,Somewhat factual but also opinionated,['dramatic' 'simply' 'effects']
Ankara launched a cross-border attack against Syria’s Kurds on October 9 after the United States announced a military pullout from the north of the war-torn country.,breitbart,international-politics-and-world-news,right,Non-biased,Entirely factual,['war-torn']
"H.R. 8, as well as other new gun control legislation currently being considered by the House Democrat majority do not accomplish the goal of reducing gun violence.",federalist,gun-control,right,Biased,Expresses writer’s opinion,['do' 'not' 'accomplish']
"The First Amendment forbids the establishment of a state church in the United States, but it in no way imposes the incoherent burden of religious neutrality on our civic institutions",federalist,white-nationalism,right,Biased,Somewhat factual but also opinionated,['incoherent' 'burden']
"And yes, there’s something in the Fox News DNA over the years that has meant that women political opponents spark a deeper sense of outrage and hate.",alternet,gender,left,Biased,Expresses writer’s opinion,['outrage' 'and' 'hate']
"When the nation's highest civilian honor went to a right-wing media personality, it served as an oddly appropriate capstone to Trump's broader goals.",msnbc,white-nationalism,left,Biased,Somewhat factual but also opinionated,['oddly' 'appropriate' 'right-wing']
"Not only would House Bill 2320 rescind the rights for same-sex marriage, it also would cement into law a litany of far right wing extremist claims, including that being LGBTQ is a “mythology,” government recognition of LGBTQ people is “the greatest sham since the inception of American jurisprudence,” and the proposition that there “are no ex-blacks but there are thousands of ex-gays.”",alternet,gender,left,Biased,Expresses writer’s opinion,['far' 'right' 'wing' 'extremist']
"On Friday, Trump said he remained ready to help South Korea and Japan solve their lingering dispute over World War II-era forced labor that has blighted their trade ties.",breitbart,international-politics-and-world-news,right,Non-biased,Entirely factual,['blighted']
"If Donald Trump was willing to have Americans gassed and beaten so he could stage a photo opportunity, what will he be willing to do to retain the presidency come election time?",huffpost,trump-presidency,left,Biased,Expresses writer’s opinion,['gassed' 'beaten' 'stage' 'willing']
"We could also point out how many of us said Trump and his party, unable to pay for their massive tax breaks for the wealthy, would invariably go after Medicare and Medicaid to help finance the tax giveaways – just as Republicans are doing now.",msnbc,middle-class,left,Biased,Expresses writer’s opinion,['invariably' 'tax' 'giveaways' 'massive']
The numbers finding broad American approval of Trump illustrate the catastrophe of the impeachment proceedings backfiring on Democrats that were precisely intended to bring the president’s approval numbers down.,federalist,trump-presidency,right,Biased,Somewhat factual but also opinionated,['catastrophe']
"Shortly before the 2018 midterm elections, Donald Trump announced that he and congressional Republicans were working “around the clock” on a new, “very major” tax cut, which would exclusively benefit the middle class, and which would be ready no later than Nov. 1.",msnbc,middle-class,left,Non-biased,Entirely factual,['']
"New Zealand Prime Minister Jacinda Ardern last month said she’s baffled by America’s failure to pass stricter gun laws, despite the wave of mass shootings that have taken place across the country over the last few decades.",huffpost,gun-control,left,Biased,No agreement,['baffled']
The Trump administration is working on a plan to let the Social Security Administration (SSA) check up on claimants on Facebook and Twitter in order to root out fraud and abuse in the disability program.,reuters,middle-class,center,Non-biased,Entirely factual,['']
"Elizabeth Warren and Bernie Sanders disagreed in a Democratic presidential debate on Tuesday over whether he once told her a woman could not win the White House in 2020, underlining an emerging rift between the progressive contenders as the first voting nears.",reuters,gender,center,Non-biased,Entirely factual,['']
WILL noted gender dysphoria is a mental health issue and parents have the right to make healthcare decisions on behalf of their children.,breitbart,gender,right,Non-biased,Entirely factual,['']
Trump has shown at best a hazy grasp of his actual powers during his presidency and instead has made broad statements about his authority under the Constitution.,huffpost,trump-presidency,left,Biased,Expresses writer’s opinion,['hazy' 'broad' 'grasp']
"Trump could sit on live TV, peeing his pants and whimpering that the protesters are coming for him, and his base would stick by him and claim to see courage in the urine puddles below his chair, just so long as he keeps the racism and the lib-triggering coming. They know he’s a “Bunker Boy,” but will pretend they don’t see it until the bitter end.",alternet,trump-presidency,left,Biased,Expresses writer’s opinion,"['whimpering' 'peeing' 'racism' 'lib-triggering' 'Bunker' 'Boy' '' 'his'
 'pants']"
"The leader of India, Prime Minister Narendra Modi, has been groomed by the right-wing, xenophobic and Islamophobic Rashtriya Swayamsevak Sangh (RSS) along with its polticial arm, the Bharatiya Janata Party (BJP).",alternet,international-politics-and-world-news,left,Biased,Somewhat factual but also opinionated,['xenophobic' 'Islamophobic' 'right-wing' 'groomed']
Gun-control activists have reported a growing number of online death threats as lawmakers have passed gun control legislation ahead of the rally.,reuters,gun-control,center,Non-biased,Entirely factual,['']
"After Steve King’s offensive implication that white people own Western civilization, Chris Hayes predictably responded with an idiotic remark about Western civilization giving us Hitler.",federalist,white-nationalism,right,Biased,Expresses writer’s opinion,"['offensive' 'idiotic' 'remark' 'predictably' 'Hitler' 'Western'
 'civilization']"
The National Republican Senatorial Committee slammed Senate Democrats for blocking the legislation.,breitbart,coronavirus,right,Biased,Somewhat factual but also opinionated,['slammed']
"As more and more South Koreans were released from treatment for COVID-19, authorities discovered a disturbing trend. Some ostensibly cured patients were later testing positive again.",reuters,coronavirus,center,Non-biased,Entirely factual,['']
"Everywhere he went on Monday, Trump was greeted by thousands of cheering Indian citizens, troops of traditional dancers and roadways lined with posters and billboards celebrating his visit.",fox-news,international-politics-and-world-news,right,Biased,Entirely factual,['cheering']
"Northam, who is leading the push for stronger gun laws in his state, said he wants to avoid a repeat of violence that erupted at a 2017 white supremacist rally in Charlottesville, when a march by white nationalists erupted and led to the death of a counterprotester.",reuters,gun-control,center,Non-biased,Entirely factual,['']
Part of the reason billionaires can swoop in and position themselves as the saviors on so many different issues — climate change being the latest — is that government has failed to take bold action.,msnbc,middle-class,left,Biased,Expresses writer’s opinion,['swoop' 'saviors' 'failed']
"New York City’s death toll was revised to over 10,000 on Tuesday to include 3,700 deaths that are presumed to be due to the novel coronavirus but never tested, the city health department said.",reuters,coronavirus,center,Non-biased,Entirely factual,['']
"She credited women for mobilizing against gun violence, creating the #MeToo movement against sexual harassment and discrimination, and taking back the Democratic majority in the House of Representatives.",msnbc,gender,left,Non-biased,Entirely factual,['']
"House Democrats are not currently pushing a firearm registry, but without a complete knowledge of the location of all firearms, universal background checks simply will not work.",breitbart,gun-control,right,Biased,Expresses writer’s opinion,['simply' 'not']
"This account of Trump’s decision-making, based on a senior defense official as well as several others in the Trump administration, offers insight into how the president was pushing for the fastest, most extreme measures while advisers at the Pentagon tried to persuade him that a more moderate approach would work.",breitbart,trump-presidency,right,Biased,No agreement,['extreme']
"Democrats have been nervous about pitching higher taxes, although a number have said they would reverse some of President Trump’s 2017 tax cuts.",fox-news,middle-class,right,Non-biased,Somewhat factual but also opinionated,['nervous']
A new report reveals that the 2017 GOP tax law was rife with monumental self-dealing by rich GOP lawmakers who have since benefited bigly.,alternet,middle-class,left,Biased,No agreement,['self-dealing' 'benefited' 'rife' 'bigly' 'rich']
White people are being asked—or pushed—to take stock of their whiteness and identify with it more. This is a remarkably bad idea.,federalist,white-nationalism,right,Biased,Expresses writer’s opinion,['pushed' 'remarkably' 'bad']
"Celebrity activist Alyssa Milano declared at a rally in Washington, D.C. Tuesday that because she has a vagina, she doesn’t have “equality and justice” in America.",breitbart,gender,right,Biased,Somewhat factual but also opinionated,['']
A bill proposed by a group of Republican lawmakers on Wednesday that would have amended the Iowa Civil Rights Act by removing protections against discrimination for transgender people is dead,msnbc,gender,left,Non-biased,Entirely factual,['']
"While Trump has stopped short of invoking the 1807 act to use the military to enforce laws domestically, he’s kept the option open, fomenting further unrest and division. Rather than staging photo opportunities while awkwardly holding a Bible in Lafayette Square, Trump would have issued a formal proclamation calling on the insurgents to disperse if he’s serious about the application of the Insurrection Act.",alternet,trump-presidency,left,Biased,No agreement,['awkwardly' 'staging']
"Trump wants the country to reopen and restrictions imposed by states and local governments to control the spread of COVID-19, the respiratory illness caused by the virus, eased.",reuters,coronavirus,center,Non-biased,Entirely factual,['']
"Ivanka Trump, President Trump’s daughter and a White House senior adviser, lauded her father’s economy and said the majority of Americans ideologically believe differently than Rep. Alexandria Ocasio-Cortez, D-N.Y., in an interview with Fox News host Steve Hilton.",fox-news,middle-class,right,Non-biased,Entirely factual,['']
"He justified his racism by saying that “many people agree with me,” and by continuing to rave on Twitter about how the real purveyors of “racist hatred” are those who look askance at his embracing the rhetoric of Stormfront and the KKK.",alternet,white-nationalism,left,Biased,Somewhat factual but also opinionated,['justified' 'rave']
"Russia killed civilians in air strikes in Syria last year while rebels allied to Turkey carried out murder and pillage in Kurdish areas, U.N. investigators said on Monday - actions it said could amount to war crimes by both Moscow and Ankara.",reuters,international-politics-and-world-news,center,Non-biased,Entirely factual,['']
"While the piece fairly analyzes the fracturing of the white nationalist movement, it makes the bizarre claim that ideas that are widely popular amongst mainstream conservatives, such as ending affirmative action, are actually white nationalist in origin.",breitbart,white-nationalism,right,Biased,Somewhat factual but also opinionated,['bizarre']
The United Nations Humanitarian Affairs office warned on Monday that nearly a million Syrian civilians from northwest Idlib province had been displaced in a Russia-backed offensive there by dictator Bashar al-Assad that began in December.,breitbart,international-politics-and-world-news,right,Non-biased,Entirely factual,['']
While Democrats were busy diverting the attention and energy of the entire country into a pointless trial that could not possibly have ended in anything other than President Donald Trump’s acquittal...,breitbart,coronavirus,right,Biased,Expresses writer’s opinion,['diverting' 'pointless']
"While, in the wake of the El Paso murders, the media and most of our politicians are acting shocked—“shocked, I tell you!”—that there are armed racists in America who are trying to terrify people of color, the reality is that it’s pretty much always been that way here in the United States.",alternet,gun-control,left,Biased,Expresses writer’s opinion,['shocked' 'I' 'tell' 'you!' 'racists']
"Male and female are the two sexes — but transgender advocates now claim more than 50 “genders” — including agender, bigender, gender fluid, gender non-conforming, genderqueer, intersex, two-spirit, etc, plus “cis-gender” for the 99+ percent of people who are normal, non-transgender people.",breitbart,gender,right,Biased,Expresses writer’s opinion,['normal' 'transgender']
"Like many Never Trump screeds, Will’s criticisms are cloaked around the Republican party. His real issue, however, is with Trump voters. He blames the party for nominating Trump and stocking Congress with “invertebrates whose unswerving abjectness has enabled his institutional vandalism…” But if pro-Trump Congressmen are “invertebrates,” what does that make the Americans who voted for them?",federalist,trump-presidency,right,Biased,Expresses writer’s opinion,['screeds' 'invertebrates' 'abjectness' 'institutional' 'vandalism']
"U.S. intelligence assessments and experts have said that Saudi Crown Prince Mohammed bin Salman, who controls all levers of power in Saudi Arabia, likely ordered or at least knew about the killing of Washington Post columnist Jamal Khashoggi.",usa-today,international-politics-and-world-news,center,Biased,Somewhat factual but also opinionated,['']
"Mafia exploitation of immigrants on farms in Italy is likely to rise as the coronavirus lockdown brings chronic labor shortages, the government and labor rights groups have warned.",reuters,coronavirus,center,Biased,Expresses writer’s opinion,['exploitation']
She said she came to her conservatism by studying history without the filter Democrats have put on racism in the United States.,breitbart,white-nationalism,right,Biased,Expresses writer’s opinion,['filter']
The governor even increased the state's corrections budget to handle what he expects to be a higher number of incarcerations due to new gun laws.,federalist,gun-control,right,Non-biased,Entirely factual,['']
"In the video, while answering a question of whether conservatives have legitimate fears of Islamic terrorism and therefore justification for measures to stop it, she appears to say that white men are in fact a greater threat.",federalist,white-nationalism,right,Biased,Expresses writer’s opinion,['greater' 'threat']
"It’s paramount now, as Fox News and the right-wing noise machine try to take down a new generation of Democratic women leaders, that everyone understands the strategy in play.",alternet,gender,left,Biased,Expresses writer’s opinion,['noise' 'machine']
The number of April background checks to purchase a firearm showed Americans flocking to gun stores in high numbers for the second month in a row amid worries about the coronavirus pandemic.,huffpost,gun-control,left,Biased,No agreement,['flocking']
"Former Secretary of the Navy Richard V. Spencer on Friday endorsed Democratic presidential candidate Michael Bloomberg, making him the first high-level former Trump administration official to back a Democratic hopeful in the 2020 election.",reuters,trump-presidency,center,Non-biased,Entirely factual,['']
"AOC, like all powerful women, has to go through a rigorous beauty regimen simply to exist in the public eye.",alternet,gender,left,Biased,Expresses writer’s opinion,['rigorous' 'regimen']
"Trump made his predecessor's posture toward Iran a centerpiece of his 2016 campaign, suggesting that a nuclear agreement worked out by President Barack Obama on behalf of the USA and five other nations was too soft on the country.",usa-today,trump-presidency,center,Biased,No agreement,['too' 'soft']
"Nearly 60 percent of Americans now support the marginal tax rate program Ocasio-Cortez has proposed uncluding a remarkable 45 percent of Republicans, despite all the work right-wing media has done to demonize Ocasio-Cortez and anything related to her.",alternet,middle-class,left,Biased,Expresses writer’s opinion,['demonize']
Franklin Graham: Democrats Exploit Coronavirus to ‘Defeat Donald Trump in the Election’,breitbart,coronavirus,right,Biased,Expresses writer’s opinion,['Exploit']
"After all, who else are they going to find who would be willing to just openly gaslight members of Congress, telling them not to believe the evidence of the dead in Pittsburgh and Christchurch and El Paso and many other mass-killing sites, by wielding her blackness like a shield?",alternet,white-nationalism,left,Biased,Expresses writer’s opinion,['mass-killing' 'gaslight' 'blackness']
"Such criminalization would be accomplished via universal background checks, which Harris strongly supports.",breitbart,gun-control,right,Biased,Somewhat factual but also opinionated,['strongly' 'criminalization']
"Billionaire investor Warren Buffett said on Monday that the wealthy, including himself, are not paying enough taxes.",reuters,middle-class,center,Non-biased,Entirely factual,['']
"The typical occupations held by middle-class Americans have changed over the years, and a greater amount of all income generated has moved into the hands of individuals and households in the top shares of earners.",usa-today,middle-class,center,Non-biased,Entirely factual,['']
"Of course, the demands of tolerance are not universal. The strong gods are still suppressed and exiled, and the heretic-hunting inquisitors of diversity have become more paranoid and vindictive in triumph.",federalist,white-nationalism,right,Biased,Expresses writer’s opinion,['heretic-hunting' 'vindictive' 'paranoid' 'inquisitors']
"President Donald Trump, however, would have us all eat our “one marshmallow now” with a reckless return to pre-pandemic life. He would risk igniting a second wave of infection, which would entail the needless sacrifice of thousands of more lives and a squandered chance to lay the foundation for a durable post-pandemic economy.",alternet,trump-presidency,left,Biased,Expresses writer’s opinion,['reckless' 'igniting' 'squandered' 'sacrifice']
"He’s a 78-year-old white male millionaire seeking the affections of the wokesters, a gruff socialist with bedraggled hair and terrifying policy proposals.",federalist,gun-control,right,Biased,Expresses writer’s opinion,['bedraggled' 'terrifying' 'wokesters' 'gruff']
Sen. Elizabeth Warren wants to raise Social Security benefits by $200 per month for roughly 64 million recipients by raising taxes on the top 2% of earners in the country.,usa-today,middle-class,center,Non-biased,Entirely factual,['']
"Of course, regionally, the Democrat base consists nearly exclusively on top income earners and rich executives who live in metropolitan areas and major cities along the coasts.",breitbart,middle-class,right,Biased,Somewhat factual but also opinionated,['rich']
"Putin, who has aligned himself with the Russian Orthodox Church and sought to distance Russia from liberal Western values, has proposed a shake-up of Russia’s political system that critics say may be designed to extend his grip on power after 2024, when he is due to leave the Kremlin.",reuters,international-politics-and-world-news,center,Biased,Entirely factual,['grip']
"The coronavirus lockdowns are America’s most regressive government actions since the draft. Even as liberals have quickly noted the virus’s disparate incidence, they have ignored the inequities of government responses.",federalist,coronavirus,right,Biased,Expresses writer’s opinion,['regressive']
The declaration that a man’s penis becomes a female penis once a man declares himself to be transgender is built on the transgender claim that men who say they are women are actually women. ,breitbart,gender,right,Biased,Expresses writer’s opinion,['transgender']
"In a series of early morning tweets on July 26, 2017, that reportedly took the Department of Defense by surprise, President Donald Trump announced that he was reinstating the repealed ban on transgender military service.",msnbc,gender,left,Non-biased,Entirely factual,['']
"For the most part however, Biden’s campaign has faded into the background of American politics as the nation struggles to combat the coronavirus pandemic and a new surge in violent demonstrations engulfing the country in a storm of anarchy.",federalist,coronavirus,right,Biased,No agreement,['violent' 'faded' 'struggles' 'demonstrations' 'storm' 'anarchy']
"Model and left-wing activist Emily Ratajkowski celebrated Easter Sunday, the most important day in the Christian calendar, by posting racy photos of herself in a thong.",breitbart,gender,right,Biased,No agreement,['racy']
"Even if Trump is “unraveling” as Never Trumpers are wont to claim, his supporters won’t disappear on November 4th. George Will and the leftists many Never Trumpers now ally themselves with must reconcile their perception of the American people with reality.",federalist,trump-presidency,right,Biased,Expresses writer’s opinion,['reality' 'unraveling' 'Never' 'Trumpers' 'leftists']
"Remember how incensed people got when Trump floated his (admittedly, impractical) ideological test for immigrants.",federalist,white-nationalism,right,Biased,Expresses writer’s opinion,['incensed' 'impractical']
President Donald Trump addressed an audience of the global business elite in Davos on Tuesday to make the case that ordinary Americans have been the chief beneficiaries of his administration’s “America first” maxim.,msnbc,middle-class,left,Biased,Entirely factual,['']
"Gun control groups hit back, saying the closures are strictly a public health matter — even as a number of sympathetic Democratic governors acknowledge bowing to pressure from lawsuits and the Trump administration.",msnbc,gun-control,left,Biased,No agreement,['bowing']
" Democracy probably cannot survive, after all, if one of our two major political parties is indifferent to its fate.",alternet,gun-control,left,Biased,Expresses writer’s opinion,['survive']
"Since Trump was elected, the Fox News programming that promotes white nationalist ideas has slowly grown both in airtime and in severity. ",alternet,white-nationalism,left,Biased,No agreement,['severity' 'white' 'nationalist']
"The institute attributes the growth to billionaires’ use of tax cuts, tax exemptions and offshore tax havens.",usa-today,middle-class,center,Non-biased,Entirely factual,['']
Five of eight gun control bills endorsed by Democratic Gov. Ralph Northam have been approved in both houses of the General Assembly and will head to Northam for signature. ,usa-today,gun-control,center,Non-biased,Entirely factual,['']
"Violence against women has plagued Mexico for years and the many killings of women drew international attention when they spiked in the 1990s, about the time of the signing of the North American Free Trade Agreement and of an increase in Juarez of manufacturing plants known as maquiladoras.",msnbc,gender,left,Non-biased,Entirely factual,['']
"Two years after filling the streets of U.S. cities to protest the start of Donald Trump’s presidency, women will march again this weekend to try to build political pressure against him ahead of the 2020 elections.",reuters,gender,center,Non-biased,Entirely factual,['']
"Today, the same propaganda is created quickly in the form of digital memes and other media that can be shared widely across the internet, she said.",msnbc,white-nationalism,left,Non-biased,Entirely factual,['']
"Trump's decision to remove the troops near the Turkish border has allowed Turkey to lodge an attack on U.S. Kurdish allies who helped in the fight against the Islamic State terrorist group, also known as ISIS.",usa-today,international-politics-and-world-news,center,Non-biased,Entirely factual,['']
House Democrats’ Chinese coronavirus relief package bails out coastal millionaires and billionaires while ensuring big businesses are able to freely hire illegal aliens and visa overstayers over unemployed Americans.,breitbart,middle-class,right,Biased,No agreement,['Chinese' 'coronavirus' 'bails' 'out' 'illegal']
"As dear leader Mitch McConnell (R-Ky.) is fond of saying, “winners make policy, losers go home.” And yet unfortunately, Republicans in the Senate refuse to take the phrase to heart. Which is a real shame. We are just under 280 days into the Trump presidency, yet beyond nominations, Congress has made almost no progress passing the agenda America elected them to enact.",breitbart,trump-presidency,right,Biased,Expresses writer’s opinion,['shame' 'refuse' 'dear' 'real']
The photograph of Katie Bouman sitting in front of her computer with the first black hole image instantly made her the face of the project — which is why an informal coterie of sexist trolls kicked off a sexist investigation to invalidate her contributions.,alternet,gender,left,Biased,Somewhat factual but also opinionated,['sexist' 'trolls']
"Former GOP strategist Steve Schmidt on Monday rebuked President Donald Trump’s fumbling response to the coronavirus pandemic, suggesting the United States would not be facing “catastrophe” if former President Barack Obama were still in office",huffpost,trump-presidency,left,Biased,Somewhat factual but also opinionated,['fumbling']
"Malaysia’s health ministry called on Thursday for mass gatherings to be postponed after at least 12 coronavirus cases were linked to a three-day religious event in the capital attended by some 10,000 people from several countries.",reuters,coronavirus,center,Non-biased,Entirely factual,['']
"The outbreak, which began in the Chinese city of Wuhan, has wreaked devastation on the global economy and threatens to plunge hundreds of millions of people into poverty.",breitbart,coronavirus,right,Non-biased,Entirely factual,['threatens' 'wreaked' 'devastation']
"Thanks to the GOP’s commitment to voter suppression, paired with decades of phony rhetoric about voter fraud, millions of black and brown Americans have no access to the ballot box.",alternet,gun-control,left,Biased,Expresses writer’s opinion,['suppression' 'phony' 'rhetoric']
This dark new event revealed that America’s white nationalism problem goes far beyond Trump,alternet,white-nationalism,left,Biased,Expresses writer’s opinion,['nationalism' 'dark']
"Though conservatives try to demonize Ocasio-Cortez an Omar, their actual policy views are perfectly mainstream.  The New York lawmaker proposed a 70 percent tax on top incomes — a view backed by public opinion and many well-respected economists.",alternet,middle-class,left,Biased,Somewhat factual but also opinionated,['demonize']
"The network also hypes the idea that nonwhite immigrants are dirty and diseased, as well as inherently criminal.",alternet,white-nationalism,left,Biased,Expresses writer’s opinion,['dirty' 'diseased' 'criminal' 'inherently' 'hypes']
"The nation's chief diplomat didn't seem to agree, however. He complained about the line of inquiry and complained about the Obama administration for a while.",msnbc,white-nationalism,left,Non-biased,No agreement,['complained']
"Though Trump has successfully increased wages by four percent over the last 12 months for America’s blue collar and working class by decreasing foreign competition through a crackdown on illegal immigration, experts have warned that those wage hikes will not continue heading into the 2020 election should current illegal immigration levels keep rising at record levels.",breitbart,middle-class,right,Non-biased,Entirely factual,['crackdown']
"White nationalism-fueled violence is on the rise, but FBI is slow to call it domestic terrorism.",msnbc,white-nationalism,left,Non-biased,Expresses writer’s opinion,['nationalism-fueled' 'slow']
"Many pointed out at the time of the Park Police’s first statement denying use of “tear gas” was obviously misleading. But Trump and his right-wing defenders jumped on it. Most prominently, Federalist writer Mollie Hemingway wrote a piece, shared by the president, accusing the media of falsely reporting that tear gas was used, even though the crowd was exposed to gases and compounds that clearly caused tears and severe irritation.",alternet,trump-presidency,left,Biased,Somewhat factual but also opinionated,['obviously' 'misleading' 'right-wing']
U.S. President Donald Trump on Thursday said a decision by House Democrats to pursue articles of impeachment against him means that future presidents will routinely face impeachment threats from lawmakers.,reuters,trump-presidency,center,Non-biased,Entirely factual,['']
"Aides and supporters of both senators, who have more or less remained allies even while running against each other for the 2020 Democratic presidential nomination, had accused each other of dirty tricks and lying in recent days after a series of leaks to the media, culminating in Warren saying in a statement that Sanders once told her he didn't think a woman could win the presidency.",msnbc,gender,left,Non-biased,Entirely factual,['dirty']
